car_id,brand_id,series_id,spec_id,guide_price,car_year,car_age,mileage,city_id,sale_price,brand_name,series_name,spec_name
车源号：HC-57500916,10021,2273,16273,15.4900,2012,6.0,6.75,110100,5.3,长安福特,福克斯,2012款 三厢 1.6L 自动 尊贵型
车源号：HC-57599349,10021,2273,11332,12.7800,2011,9.0,10.47,110100,3.8,长安福特,福克斯,2011款 两厢 1.8自动时尚型
车源号：HC-57822431,10021,2273,16265,11.9900,2012,7.0,5.61,110100,4.3,长安福特,福克斯,2012款 三厢 1.6L 手动 舒适型
车源号：HC-57822776,10021,2273,115845,13.6800,2015,5.0,4.42,110100,6.9,长安福特,福克斯,2015款 三厢 1.6L 自动风尚型
车源号：HC-58065697,10021,2273,127038,11.0800,2018,1.0,0.43,110100,7.8,长安福特,福克斯,2018款 两厢 1.6L 双离合 舒适版
车源号：HC-58297523,10021,2273,16269,14.3900,2012,5.0,1.75,110100,7.8,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-58309244,10021,2273,100182,9.9800,2012,6.0,6.05,110100,4.88,长安福特,福克斯,2012款 两厢 经典款 1.8L 手动 基本型
车源号：HC-58429611,10021,2273,120517,12.7800,2017,4.0,3.4,110100,8.08,长安福特,福克斯,2017款 三厢 1.6L 手动 风尚型智行版
车源号：HC-58430080,10021,2273,16267,13.0900,2012,6.0,3.82,110100,6.35,长安福特,福克斯,2012款 两厢 1.6L 自动 舒适型
车源号：HC-58519330,10021,2273,16269,14.3900,2012,6.0,1.7,110100,7.5,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-5853527,10021,2273,16269,14.3900,2012,6.0,4.9,110100,6.6,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-58543925,10021,2273,16272,14.3900,2012,7.0,9.79,110100,6,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-58571628,10021,2273,16269,14.3900,2012,5.0,10.29,110100,7,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-58611615,10021,2273,115849,14.9800,2015,3.0,6.19,110100,8.26,长安福特,福克斯,2015款 两厢 Ecoboost180 自动 精英型
车源号：HC-58625666,10021,2273,16270,13.0900,2012,7.0,3.94,110100,5,长安福特,福克斯,2012款 三厢 1.6L 自动 舒适型
车源号：HC-58625667,10021,2273,16272,14.3900,2012,6.0,3.44,110100,5.72,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-58637717,10021,2273,16274,16.9900,2012,7.0,8.07,110100,6.3,长安福特,福克斯,2012款 三厢 2.0L 自动 旗舰型
车源号：HC-58771167,10021,2273,11330,10.4800,2011,7.0,7,110100,3.2,长安福特,福克斯,2011款 两厢 1.8手动经典型
车源号：HC-58810727,10021,2273,115846,12.5800,2015,5.0,4.2,110100,6.5,长安福特,福克斯,2015款 三厢 1.6L 手动风尚型
车源号：HC-58843350,10021,2273,16269,14.3900,2012,7.0,5.16,110100,5.63,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-59028284,10021,2273,6990,13.4900,2009,11.0,6.33,110100,2.94,长安福特,福克斯,2009款 两厢 1.8AT 时尚型
车源号：HC-59082738,10021,2273,115846,12.5800,2015,3.0,3.44,110100,7.5,长安福特,福克斯,2015款 三厢 1.6L 手动风尚型
车源号：HC-59155775,10021,2273,16272,14.3900,2012,6.0,5.53,110100,5.9,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-59172126,10021,2273,6989,11.8900,2009,10.0,9.3,110100,3,长安福特,福克斯,2009款 两厢 1.8MT 舒适型
车源号：HC-59260954,10021,2273,100184,11.2800,2012,8.0,7.66,110100,3.1,长安福特,福克斯,2012款 两厢 经典款 1.8L 手动 时尚型
车源号：HC-59362883,10021,2273,7013,11.8900,2009,9.0,8.03,110100,2.52,长安福特,福克斯,2009款 三厢 1.8MT 舒适型
车源号：HC-59400556,10021,2273,115847,12.4800,2015,3.0,5.49,110100,6.4,长安福特,福克斯,2015款 三厢 1.6L 自动舒适型
车源号：HC-59421562,10021,2273,16265,11.9900,2012,8.0,6.11,110100,5.5,长安福特,福克斯,2012款 三厢 1.6L 手动 舒适型
车源号：HC-59440243,10021,2273,16269,14.3900,2012,6.0,2.32,110100,7.19,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-59459733,10021,2273,16271,13.2900,2012,4.0,7.46,110100,6.2,长安福特,福克斯,2012款 三厢 1.6L 手动 风尚型
车源号：HC-59462495,10021,2273,115849,14.9800,2015,3.0,6.55,110100,8.34,长安福特,福克斯,2015款 两厢 Ecoboost180 自动 精英型
车源号：HC-59629582,10021,2273,16265,11.9900,2012,5.0,10.33,110100,4.71,长安福特,福克斯,2012款 三厢 1.6L 手动 舒适型
车源号：HC-59680646,10021,2273,115382,16.5800,2015,5.0,4.83,110100,9.5,长安福特,福克斯,2015款 两厢 Ecoboost180 自动 运动型
车源号：HC-59685946,10021,2273,100180,9.9800,2012,6.0,8.85,110100,3.8,长安福特,福克斯,2012款 三厢 经典款 1.8L 手动 基本型
车源号：HC-59765599,10021,2273,115854,12.4800,2015,3.0,3.88,110100,8,长安福特,福克斯,2015款 两厢 1.6L 自动舒适型
车源号：HC-59801418,10021,2273,16272,14.3900,2012,5.0,7.58,110100,6.05,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-59848630,10021,2273,16267,13.0900,2012,8.0,2.66,110100,6.5,长安福特,福克斯,2012款 两厢 1.6L 自动 舒适型
车源号：HC-60019121,10021,2273,16267,13.0900,2012,5.0,2.41,110100,6.74,长安福特,福克斯,2012款 两厢 1.6L 自动 舒适型
车源号：HC-60060183,10021,2273,16271,13.2900,2012,5.0,5.43,110100,5.3,长安福特,福克斯,2012款 三厢 1.6L 手动 风尚型
车源号：HC-60174165,10021,2273,16270,13.0900,2012,8.0,4.41,110100,4.51,长安福特,福克斯,2012款 三厢 1.6L 自动 舒适型
车源号：HC-60259536,10021,2273,16269,14.3900,2012,7.0,4.51,110100,6.1,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-60287383,10021,2273,16269,14.3900,2012,7.0,4.48,110100,6.17,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-60336937,10021,2273,115845,13.6800,2015,4.0,7.72,110100,6.8,长安福特,福克斯,2015款 三厢 1.6L 自动风尚型
